Student_ID,Gender,Age,School_Type,District,Family_Income,Parent_Education_Level,Chosen_Program,Applied_Institution,Application_Status,O_Level_Mathematics,O_Level_English,O_Level_Malay_Language,O_Level_Islamic_Religious_Knowledge,O_Level_Chemistry,O_Level_Biology,O_Level_Physics,O_Level_Combined_Science,O_Level_Commerce,O_Level_Economics,O_Level_Computer_Science,O_Level_Additional_Maths,A_Level_Mathematics,A_Level_English,A_Level_Chemistry,A_Level_Biology,A_Level_Physics,A_Level_Commerce,A_Level_Economics,A_Level_Computer_Science,O_Level_Credits,A_Level_Credits
STU1000,Male,18,Private,Temburong,8210,Masters Degree,Engineering,IBTE,Waiting List,C,A,A,E,E,A,B,A,E,E,E,C,,,,,,,,,7,0
STU1001,Female,16,International,Belait,5245,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,A,D,B,D,C,U,A,D,C,C,C,D,,,,,,,A,,7,1
STU1002,Male,18,Public,Temburong,4366,Diploma,Engineering,IBTE,Rejected,A,B,B,D,D,U,U,C,B,E,U,A,,,,,,,,,6,0
STU1003,Female,18,Private,Brunei-Muara,7795,Degree,Engineering,IBTE,Rejected,C,A,D,E,A,E,U,B,A,C,A,E,,,,,D,,U,,7,0
STU1004,Male,16,International,Brunei-Muara,9232,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,B,D,E,B,U,U,E,B,U,B,D,A,,,,,,,,,5,0
STU1005,Female,19,Private,Brunei-Muara,4995,Degree,Business,Laksamana College of Business,Waiting List,E,E,E,D,A,C,B,U,D,A,A,E,,,,,,,,,5,0
STU1006,Female,19,Public,Belait,2443,Diploma,Engineering,IBTE,Rejected,U,B,U,E,B,U,C,A,D,C,C,A,,,,,,,,,7,0
STU1007,Male,20,Private,Brunei-Muara,4098,Masters Degree,Business,Laksamana College of Business,Accepted,A,C,E,C,E,C,C,E,D,A,E,B,,,,,,,,,7,0
STU1008,Male,19,Public,Belait,3075,Diploma,Business,Laksamana College of Business,Accepted,U,C,C,A,C,B,A,A,C,U,A,C,,,,,,,,,10,0
STU1009,Female,19,Public,Temburong,6410,Degree,Engineering,IBTE,Accepted,B,B,B,E,D,B,A,B,U,B,A,E,,,,,,,,,8,0
STU1010,Male,17,Private,Tutong,4848,Postgraduate,Business,Laksamana College of Business,Rejected,D,A,E,A,D,D,E,B,B,D,E,E,,,U,,,,,,4,0
STU1011,Male,17,Public,Brunei-Muara,3671,Diploma,ICT,Politeknik Brunei,Waiting List,E,E,C,U,E,B,B,E,E,A,A,A,,,,,A,E,,,6,1
