Student_ID,Gender,Age,School_Type,District,Family_Income,Parent_Education_Level,Preferred_Program,Recommended_Program,Applied_Institution,Enrolled,Success_Level,Previous_Achievements,Extra_Curricular,Interest_Areas,Attendance,Study_Hours,O_Level_Mathematics,O_Level_English,O_Level_Malay_Language,O_Level_Islamic_Religious_Knowledge,O_Level_Chemistry,O_Level_Biology,O_Level_Physics,O_Level_Combined_Science,O_Level_Commerce,O_Level_Economics,O_Level_Computer_Science,O_Level_Additional_Maths,A_Level_Mathematics,A_Level_English,A_Level_Chemistry,A_Level_Biology,A_Level_Physics,A_Level_Commerce,A_Level_Economics,A_Level_Computer_Science,O_Level_Credits,A_Level_Credits,O_Level_Results,A_Level_Results
STU1000,Male,18,Private,Temburong,8210,Masters Degree,IT,IT,Universiti Brunei Darussalam,1,Medium,None,1,Business,86.29,15,C,A,A,E,E,A,B,A,E,E,E,C,,,,,,,,,7,0,4.13,6.64
STU1001,Female,16,International,Belait,5245,Masters Degree,Health Sciences,Business,Politeknik Brunei,0,Medium,Sports,1,Business,85.13,5,A,D,B,D,C,U,A,D,C,C,C,D,,,,,,,A,,7,1,2.75,7.83
STU1002,Male,18,Public,Temburong,4366,Diploma,IT,IT,Micronet International College,1,High,None,0,Technology,76.61,12,A,B,B,D,D,U,U,C,B,E,U,A,,,,,,,,,6,0,6.8,3.97
STU1003,Female,18,Private,Brunei-Muara,7795,Degree,Business,Business,Universiti Brunei Darussalam,1,High,Debate,1,Technology,95.08,17,C,A,D,E,A,E,U,B,A,C,A,E,,,,,D,,U,,7,0,3.81,5.97
STU1004,Male,16,International,Brunei-Muara,9232,Postgraduate,IT,Engineering,Micronet International College,0,Medium,Debate,0,Humanities,89.49,16,B,D,E,B,U,U,E,B,U,B,D,A,,,,,,,,,5,0,6.69,8.15
STU1005,Female,19,Private,Brunei-Muara,4995,Degree,Education,Business,Micronet International College,0,Medium,Science Fair,1,Arts,80.68,12,E,E,E,D,A,C,B,U,D,A,A,E,,,,,,,,,5,0,5.56,6.61
STU1006,Female,19,Public,Belait,2443,Diploma,Health Sciences,Health Sciences,Politeknik Brunei,0,Low,Arts,1,Humanities,90.26,7,U,B,U,E,B,U,C,A,D,C,C,A,,,,,,,,,7,0,6.54,6.63
STU1007,Male,20,Private,Brunei-Muara,4098,Masters Degree,IT,IT,International Graduate Studies College,1,Medium,Arts,1,Humanities,88.35,15,A,C,E,C,E,C,C,E,D,A,E,B,,,,,,,,,7,0,8.95,3.65
STU1008,Male,19,Public,Belait,3075,Diploma,IT,Engineering,International Graduate Studies College,0,High,Science Fair,0,Humanities,97.36,10,U,C,C,A,C,B,A,A,C,U,A,C,,,,,,,,,10,0,2.26,2.63
STU1009,Female,19,Public,Temburong,6410,Degree,Business,Health Sciences,Universiti Brunei Darussalam,1,High,Debate,1,Business,78.7,17,B,B,B,E,D,B,A,B,U,B,A,E,,,,,,,,,8,0,8.28,8.52
STU1010,Male,17,Private,Tutong,4848,Postgraduate,IT,Health Sciences,Universiti Brunei Darussalam,1,Medium,None,0,Humanities,89.02,16,D,A,E,A,D,D,E,B,B,D,E,E,,,U,,,,,,4,0,3.17,7.87
STU1011,Male,17,Public,Brunei-Muara,3671,Diploma,Education,Business,Politeknik Brunei,1,Low,Debate,0,Technology,96.92,11,E,E,C,U,E,B,B,E,E,A,A,A,,,,,A,E,,,6,1,8.83,7.44
STU1012,Female,20,International,Brunei-Muara,9372,Masters Degree,IT,IT,Micronet International College,1,Low,Science Fair,1,Arts,97.26,14,C,B,U,D,U,U,C,U,D,A,A,E,,,,,,,,,5,0,4.44,8.94
STU1013,Male,20,Private,Tutong,8528,Degree,Health Sciences,Education,Politeknik Brunei,0,High,Debate,0,Business,91.21,12,D,U,U,D,U,C,B,A,A,C,C,D,,,,,,,,,6,0,4.89,8
STU1014,Male,18,International,Tutong,6530,Diploma,Education,Education,Micronet International College,1,Low,Arts,0,Technology,95.73,6,C,A,E,D,E,U,A,B,B,C,D,E,,B,,,C,,,,6,2,3.78,7.23
STU1015,Male,17,Public,Belait,2923,Diploma,Engineering,Business,International Graduate Studies College,0,Medium,Arts,0,Science,81.42,6,D,B,U,E,C,E,A,E,A,C,B,U,,,,A,,,,A,6,2,6.34,6.96
STU1016,Male,19,International,Belait,5947,Postgraduate,Health Sciences,Education,International Graduate Studies College,0,Low,None,0,Science,78.83,7,B,D,C,C,A,U,E,D,U,D,E,D,,A,,,,,,,4,1,8.36,7.96
STU1017,Male,20,International,Belait,5874,Degree,IT,Health Sciences,International Graduate Studies College,0,Medium,None,1,Science,98.94,18,D,D,U,D,C,A,U,U,E,B,A,C,,,,,,,,,5,0,5.08,4.17
