Programs,O_Level_Credits,A_Level_Passes,Entry Requirements
Level 1 Introductory Diploma in Business,1,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 2 International Certificate in Business,2,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 3 Diploma in Business,4,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 5 Higher National Diploma (HND) in Business,5,2,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 1 Introductory Diploma in Information Technology,1,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 2 International Certificate in Information Technology,2,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 3 Diploma in Information Technology,4,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 5 HND in Computing,5,2,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 2 Certificate for Customer Service Practitioners,2,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
Level 3 Diploma for Customer Service Specialists,4,,"2 O-Level Credits for Level 1, 4 O-Level Credits for Diplomas, A-Level for HND"
