Student_ID,Age,Gender,School_Type,District,O_Level_Results,A_Level_Results,O_Level_Credits,A_Level_Credits,Preferred_Program,Preferred_Institution,Enrolled,Program,Success_Level,Previous_Achievements,Extra_Curricular,Interest_Areas,Recommended_Program,Household_Income,Parental_Education,Attendance,Study_Hours
STU1000,21,Female,Public,Brunei-Muara,4.13,6.64,6,1,IT,Universiti Brunei Darussalam,1,Engineering,Medium,None,1,Business,IT,1190,Degree,86.29,15
STU1001,18,Male,Public,Brunei-Muara,2.75,7.83,4,2,Health Sciences,Politeknik Brunei,0,Engineering,Medium,Sports,1,Business,Business,4664,Masters,85.13,5
STU1002,19,Female,Public,Tutong,6.8,3.97,5,4,IT,Micronet International College,1,Health Sciences,High,None,0,Technology,IT,1010,Diploma,76.61,12
STU1003,20,Male,Private,Brunei-Muara,3.81,5.97,6,1,Business,Universiti Brunei Darussalam,1,Health Sciences,High,Debate,1,Technology,Business,3660,Diploma,95.08,17
STU1004,20,Female,Private,Belait,6.69,8.15,9,2,IT,Micronet International College,0,Engineering,Medium,Debate,0,Humanities,Engineering,2000,Masters,89.49,16
STU1005,17,Female,Private,Tutong,5.56,6.61,7,1,Education,Micronet International College,0,Engineering,Medium,Science Fair,1,Arts,Business,2302,Masters,80.68,12
STU1006,21,Male,Private,Tutong,6.54,6.63,8,1,Health Sciences,Politeknik Brunei,0,IT,Low,Arts,1,Humanities,Health Sciences,3128,Masters,90.26,7
STU1007,17,Male,Public,Brunei-Muara,8.95,3.65,5,4,IT,International Graduate Studies College,1,Education,Medium,Arts,1,Humanities,IT,4774,High School,88.35,15
STU1008,19,Female,Public,Temburong,2.26,2.63,5,1,IT,International Graduate Studies College,0,Business,High,Science Fair,0,Humanities,Engineering,2876,High School,97.36,10
STU1009,17,Female,Public,Tutong,8.28,8.52,9,2,Business,Universiti Brunei Darussalam,1,IT,High,Debate,1,Business,Health Sciences,3154,Diploma,78.7,17
STU1010,17,Female,Private,Temburong,3.17,7.87,7,1,IT,Universiti Brunei Darussalam,1,Education,Medium,None,0,Humanities,Health Sciences,4728,Degree,89.02,16
STU1011,19,Female,Private,Temburong,8.83,7.44,9,1,Education,Politeknik Brunei,1,Engineering,Low,Debate,0,Technology,Business,4367,Diploma,96.92,11
