Programs,O_Level_Credits,A_Level_Passes,Entry Requirements,,,
Faculty of Engineering in Civil Engineering,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 550
Faculty of Engineering in Mechanical Engineering,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 551
Faculty of Engineering in Electrical & Electronics Engineering,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 552
Faculty of Engineering Petroleum Engineering,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 553
Faculty of Engineering Chemical Engineering,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 554
School of Computing & Informatics in Computer & Information Systems,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 555
School of Computing & Informatics in Computer Network & Security,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 556
School of Computing & Informatics in Software Engineering,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 557
School of Computing & Informatics in Data Science,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 558
School of Business in Accounting and Finance,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 559
School of Business in Business Information Systems,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 560
School of Business in Economics & Management,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 561
School of Business In Marketing,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 562
School of Applied Sciences & Mathematics in Food Science & Technology,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 563
School of Applied Sciences & Mathematics in Mathematics,5,2,"Minimum 5 O-Level passes including English, Maths, and Science",At least 2 A-Level passes (Maths and Science preferred),N/A,IELTS 6.0 or TOEFL 564
Master of Engineering (MEng),99,99,Bachelor’s degree in a relevant field with a good academic record,N/A,Research proposal (for thesis-based programs),IELTS 6.0 or TOEFL 550
Master of Science (MSc) in Engineering/Computing,99,99,Bachelor’s degree in a relevant field with a good academic record,N/A,Research proposal (for thesis-based programs),IELTS 6.0 or TOEFL 551
Master of Business Administration (MBA),99,99,Bachelor’s degree in a relevant field with a good academic record,N/A,Relevant work experience preferred,IELTS 6.0 or TOEFL 552
Doctor of Philosophy (Ph.D.) in Engineering,99,99,Master’s degree in a relevant field,N/A,Strong research proposal,IELTS 6.0 or TOEFL 553
Doctor of Philosophy (Ph.D.) in Technology,99,99,Master’s degree in a relevant field,N/A,Strong research proposal,IELTS 6.0 or TOEFL 554
Doctor of Philosophy (Ph.D.) in Business,99,99,Master’s degree in a relevant field,N/A,Strong research proposal,IELTS 6.0 or TOEFL 555
